client_id,algorithm,model_id,image_number,signal_gain,image_file,iters,erro_final,converg,tempo_inicio,tempo_final,reconstruction_time
31,CGNR,60x60,6,1.4926,reconstructed_client31_CGNR_img6.png,10,37845.57421875,False,2026-05-29T17:47:54.855,2026-05-29T17:47:56.485,1.6297691250001662
32,CGNE,60x60,5,1.2151,reconstructed_client32_CGNE_img5.png,10,0.00010994925833074376,False,2026-05-29T17:48:10.968,2026-05-29T17:48:13.143,2.174308749999909
32,CGNR,60x60,5,1.2151,reconstructed_client32_CGNR_img5.png,6,9.438245615456253e-05,True,2026-05-29T17:48:09.173,2026-05-29T17:48:10.342,1.1681265420002092
33,CGNE,30x30,2,1.004,reconstructed_client33_CGNE_img2.png,3,7.90692211012356e-05,True,2026-05-29T17:47:55.054,2026-05-29T17:47:55.128,0.07387666600016018
33,CGNR,30x30,2,1.004,reconstructed_client33_CGNR_img2.png,2,8.987413457361981e-05,True,2026-05-29T17:47:56.489,2026-05-29T17:47:56.620,0.13061045899985402
34,CGNE,30x30,3,0.9358,reconstructed_client34_CGNE_img3.png,10,306438528.0,False,2026-05-29T17:47:57.256,2026-05-29T17:47:57.701,0.4451816659998258
34,CGNR,30x30,3,0.9358,reconstructed_client34_CGNR_img3.png,10,5916625.0,False,2026-05-29T17:47:55.501,2026-05-29T17:47:55.918,0.41785250000020824
35,CGNE,30x30,3,1.0999,reconstructed_client35_CGNE_img3.png,10,360177888.0,False,2026-05-29T17:48:05.913,2026-05-29T17:48:06.591,0.6789230839999618
35,CGNR,30x30,3,1.0999,reconstructed_client35_CGNR_img3.png,10,6954153.0,False,2026-05-29T17:48:04.415,2026-05-29T17:48:04.842,0.4269104579998384
36,CGNE,30x30,2,1.2101,reconstructed_client36_CGNE_img2.png,3,9.530035458737984e-05,True,2026-05-29T17:48:07.473,2026-05-29T17:48:07.738,0.2650174169998536
36,CGNR,30x30,2,1.2101,reconstructed_client36_CGNR_img2.png,3,7.155112689360976e-05,True,2026-05-29T17:48:04.847,2026-05-29T17:48:05.237,0.3907306670002981
37,CGNE,60x60,6,1.2778,reconstructed_client37_CGNE_img6.png,10,1117966.375,False,2026-05-29T17:47:48.322,2026-05-29T17:47:49.718,1.395680000000084
37,CGNR,60x60,6,1.2778,reconstructed_client37_CGNR_img6.png,10,32399.216796875,False,2026-05-29T17:47:50.260,2026-05-29T17:47:51.770,1.5096766249998836
38,CGNE,60x60,6,1.2052,reconstructed_client38_CGNE_img6.png,10,1054444.5,False,2026-05-29T17:47:58.290,2026-05-29T17:48:00.225,1.935059832999741
38,CGNR,60x60,6,1.2052,reconstructed_client38_CGNR_img6.png,10,30558.41015625,False,2026-05-29T17:47:59.321,2026-05-29T17:48:01.220,1.8984901250000803
39,CGNE,60x60,4,0.6829,reconstructed_client39_CGNE_img4.png,4,8.241634350270033e-05,True,2026-05-29T17:47:45.943,2026-05-29T17:47:46.309,0.3656910830000015
39,CGNR,60x60,4,0.6829,reconstructed_client39_CGNR_img4.png,3,7.530867878813297e-05,True,2026-05-29T17:47:43.442,2026-05-29T17:47:43.691,0.24847837500010428
40,CGNE,60x60,5,0.5734,reconstructed_client40_CGNE_img5.png,5,8.392488962272182e-05,True,2026-05-29T17:48:15.012,2026-05-29T17:48:16.382,1.370175250000102
